Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743034858757,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,5662.2001953125,66471.2421875,63351.215759277344,384.29901123046875,17026772992,10317840384,6378500096,0
199,1743034858757,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,5662.205993652344,66471.3247680664,63351.27893066406,384.29901123046875,17026772992,10317840384,6378663936,0
200,1743034858957,2904,2904,2904,2904,2904,2904,14.077468872070313,41.8381233215332,19.59148406982422,32.64854431152344,25.891159057617188,8.334159851074219,5662.392333984375,66474.6064453125,63354.47033691406,384.29901123046875,17026772992,10317840384,6405804032,0
199,1743034859158,2904,2904,2904,2904,2904,2904,8.707084655761719,72.60331726074219,12.714523315429688,5.573722839355469,10.7684326171875,7.407112121582031,5662.58984375,66478.00915527344,63357.77258300781,384.30303955078125,17026772992,10317840384,6416596992,0
200,1743034859358,2904,2904,2904,2904,2904,2904,2.6556777954101563,43.05980682373047,30.2940673828125,7.667823791503906,37.38608932495117,4.9248199462890625,5662.782470703125,66481.59002685547,63361.268005371094,384.30303955078125,17026772992,10317840384,6436433920,0
200,1743034859558,2904,2904,2904,2904,2904,2904,17.872772216796875,49.466800689697266,35.05804443359375,6.842926025390625,5.337043762207031,2.9964141845703125,5662.985046386719,66485.00903320313,63364.57843017578,384.30303955078125,17026772992,10317840384,6465200128,0
200,1743034859759,2904,2904,2904,2904,2904,2904,34.62127685546875,51.376556396484375,51.54869842529297,7.921958923339844,7.4387054443359375,10.822280883789063,5663.177001953125,66489.1015625,63368.60693359375,384.30645751953125,17026772992,10317840384,6477651968,0
200,1743034859959,2904,2904,2904,2904,2904,2904,71.42240905761719,75.27330017089844,67.45072937011719,63.418033599853516,58.54829406738281,62.54719924926758,5663.516418457031,66497.20013427734,63376.508850097656,384.33489990234375,17026772992,10317840384,6473527296,0
200,1743034860160,2904,2904,2904,2904,2904,2904,32.05615997314453,62.873809814453125,38.79642105102539,41.1290168762207,45.54600524902344,29.04937744140625,5663.8125,66502.94555664063,63382.12725830078,384.3544921875,17026772992,10317840384,6482599936,0
200,1743034860360,2904,2904,2904,2904,2904,2904,23.159866333007813,59.3424186706543,12.736686706542969,10.093788146972656,3.4017410278320313,6.749137878417969,5663.997863769531,66506.14739990234,63385.22149658203,384.3597412109375,17026772992,10317840384,6518599680,0
200,1743034860560,2904,2904,2904,2904,2904,2904,2.748291015625,6.5618743896484375,2.2137908935546875,1.3199539184570313,1.1582412719726563,100,5664.16943359375,66509.48016357422,63388.46142578125,384.3638916015625,17026772992,10317840384,6540066816,0
